step,time,elastic,fracture,kinetic,external,total
73,5.240000000e-03,1.740795051e+00,8.443262453e-02,0.000000000e+00,0.000000000e+00,1.825227676e+00
74,5.250000000e-03,1.746697151e+00,8.517929704e-02,0.000000000e+00,0.000000000e+00,1.831876448e+00
75,5.260000000e-03,1.752600733e+00,8.593428780e-02,0.000000000e+00,0.000000000e+00,1.838535021e+00
76,5.270000000e-03,1.758505510e+00,8.669785290e-02,0.000000000e+00,0.000000000e+00,1.845203363e+00
77,5.280000000e-03,1.764411162e+00,8.747027641e-02,0.000000000e+00,0.000000000e+00,1.851881438e+00
78,5.290000000e-03,1.770317338e+00,8.825187558e-02,0.000000000e+00,0.000000000e+00,1.858569213e+00
79,5.300000000e-03,1.776223640e+00,8.904301218e-02,0.000000000e+00,0.000000000e+00,1.865266652e+00
80,5.310000000e-03,1.782129671e+00,8.984404593e-02,0.000000000e+00,0.000000000e+00,1.871973717e+00
81,5.320000000e-03,1.788035013e+00,9.065535647e-02,0.000000000e+00,0.000000000e+00,1.878690369e+00
82,5.330000000e-03,1.793939193e+00,9.147737589e-02,0.000000000e+00,0.000000000e+00,1.885416569e+00
83,5.340000000e-03,1.799841702e+00,9.231057236e-02,0.000000000e+00,0.000000000e+00,1.892152274e+00
84,5.350000000e-03,1.805741979e+00,9.315546274e-02,0.000000000e+00,0.000000000e+00,1.898897442e+00
85,5.360000000e-03,1.811639393e+00,9.401263215e-02,0.000000000e+00,0.000000000e+00,1.905652025e+00
86,5.370000000e-03,1.817533273e+00,9.488270361e-02,0.000000000e+00,0.000000000e+00,1.912415976e+00
87,5.380000000e-03,1.823422876e+00,9.576637027e-02,0.000000000e+00,0.000000000e+00,1.919189246e+00
88,5.390000000e-03,1.829307231e+00,9.666454937e-02,0.000000000e+00,0.000000000e+00,1.925971780e+00
89,5.400000000e-03,1.835185329e+00,9.757819413e-02,0.000000000e+00,0.000000000e+00,1.932763523e+00
90,5.410000000e-03,1.841056072e+00,9.850834220e-02,0.000000000e+00,0.000000000e+00,1.939564414e+00
91,5.420000000e-03,1.846918077e+00,9.945631324e-02,0.000000000e+00,0.000000000e+00,1.946374391e+00
92,5.430000000e-03,1.852769863e+00,1.004235214e-01,0.000000000e+00,0.000000000e+00,1.953193384e+00
93,5.440000000e-03,1.858609761e+00,1.014115596e-01,0.000000000e+00,0.000000000e+00,1.960021321e+00
94,5.450000000e-03,1.864435772e+00,1.024223504e-01,0.000000000e+00,0.000000000e+00,1.966858122e+00
95,5.460000000e-03,1.870245517e+00,1.034581842e-01,0.000000000e+00,0.000000000e+00,1.973703701e+00
96,5.470000000e-03,1.876036216e+00,1.045217481e-01,0.000000000e+00,0.000000000e+00,1.980557964e+00
97,5.480000000e-03,1.881804401e+00,1.056164039e-01,0.000000000e+00,0.000000000e+00,1.987420805e+00
98,5.490000000e-03,1.887545903e+00,1.067462058e-01,0.000000000e+00,0.000000000e+00,1.994292108e+00
99,5.500000000e-03,1.893255435e+00,1.079163065e-01,0.000000000e+00,0.000000000e+00,2.001171742e+00
100,5.510000000e-03,1.898925613e+00,1.091339411e-01,0.000000000e+00,0.000000000e+00,2.008059554e+00
101,5.520000000e-03,1.904546265e+00,1.104091059e-01,0.000000000e+00,0.000000000e+00,2.014955371e+00
102,5.530000000e-03,1.910104360e+00,1.117546243e-01,0.000000000e+00,0.000000000e+00,2.021858985e+00
103,5.540000000e-03,1.915579120e+00,1.131910245e-01,0.000000000e+00,0.000000000e+00,2.028770145e+00
104,5.550000000e-03,1.920938873e+00,1.147496654e-01,0.000000000e+00,0.000000000e+00,2.035688538e+00
105,5.560000000e-03,1.926126976e+00,1.164867816e-01,0.000000000e+00,0.000000000e+00,2.042613758e+00
106,5.570000000e-03,1.931010116e+00,1.185351644e-01,0.000000000e+00,0.000000000e+00,2.049545281e+00
107,5.580000000e-03,1.935115311e+00,1.213673751e-01,0.000000000e+00,0.000000000e+00,2.056482686e+00
108,5.590000000e-03,1.084937971e-03,1.796427310e+00,0.000000000e+00,0.000000000e+00,1.797512248e+00
109,5.600000000e-03,1.083946838e-03,1.796435884e+00,0.000000000e+00,0.000000000e+00,1.797519830e+00
110,5.610000000e-03,1.082699756e-03,1.796444843e+00,0.000000000e+00,0.000000000e+00,1.797527542e+00
111,5.620000000e-03,1.081257602e-03,1.796454075e+00,0.000000000e+00,0.000000000e+00,1.797535333e+00
112,5.630000000e-03,1.079725033e-03,1.796463431e+00,0.000000000e+00,0.000000000e+00,1.797543156e+00
113,5.640000000e-03,1.078101542e-03,1.796472902e+00,0.000000000e+00,0.000000000e+00,1.797551004e+00
114,5.650000000e-03,1.076413534e-03,1.796482452e+00,0.000000000e+00,0.000000000e+00,1.797558866e+00
115,5.660000000e-03,1.074672174e-03,1.796492069e+00,0.000000000e+00,0.000000000e+00,1.797566741e+00
116,5.670000000e-03,1.072879227e-03,1.796501751e+00,0.000000000e+00,0.000000000e+00,1.797574630e+00
117,5.680000000e-03,1.071035020e-03,1.796511484e+00,0.000000000e+00,0.000000000e+00,1.797582519e+00
118,5.690000000e-03,1.069126374e-03,1.796521285e+00,0.000000000e+00,0.000000000e+00,1.797590411e+00
119,5.700000000e-03,1.067116533e-03,1.796531234e+00,0.000000000e+00,0.000000000e+00,1.797598351e+00
120,5.710000000e-03,1.065003378e-03,1.796541349e+00,0.000000000e+00,0.000000000e+00,1.797606352e+00
121,5.720000000e-03,1.062881488e-03,1.796551457e+00,0.000000000e+00,0.000000000e+00,1.797614338e+00
122,5.730000000e-03,1.060682878e-03,1.796561647e+00,0.000000000e+00,0.000000000e+00,1.797622330e+00
123,5.740000000e-03,1.058429120e-03,1.796571898e+00,0.000000000e+00,0.000000000e+00,1.797630327e+00
124,5.750000000e-03,1.056169979e-03,1.796582129e+00,0.000000000e+00,0.000000000e+00,1.797638299e+00
125,5.760000000e-03,1.053884515e-03,1.796592389e+00,0.000000000e+00,0.000000000e+00,1.797646274e+00
126,5.770000000e-03,1.051604985e-03,1.796602610e+00,0.000000000e+00,0.000000000e+00,1.797654215e+00
127,5.780000000e-03,1.049312682e-03,1.796612826e+00,0.000000000e+00,0.000000000e+00,1.797662139e+00
128,5.790000000e-03,1.046970556e-03,1.796623112e+00,0.000000000e+00,0.000000000e+00,1.797670082e+00
129,5.800000000e-03,1.044585921e-03,1.796633457e+00,0.000000000e+00,0.000000000e+00,1.797678043e+00
130,5.810000000e-03,1.042201558e-03,1.796643775e+00,0.000000000e+00,0.000000000e+00,1.797685977e+00
131,5.820000000e-03,1.039821373e-03,1.796654056e+00,0.000000000e+00,0.000000000e+00,1.797693877e+00
132,5.830000000e-03,1.037410324e-03,1.796664365e+00,0.000000000e+00,0.000000000e+00,1.797701776e+00
133,5.840000000e-03,1.034992057e-03,1.796674666e+00,0.000000000e+00,0.000000000e+00,1.797709658e+00
134,5.850000000e-03,1.032584294e-03,1.796684919e+00,0.000000000e+00,0.000000000e+00,1.797717503e+00
135,5.860000000e-03,1.030182163e-03,1.796695135e+00,0.000000000e+00,0.000000000e+00,1.797725317e+00
136,5.870000000e-03,1.027770518e-03,1.796705341e+00,0.000000000e+00,0.000000000e+00,1.797733111e+00
137,5.880000000e-03,1.025371912e-03,1.796715497e+00,0.000000000e+00,0.000000000e+00,1.797740869e+00
138,5.890000000e-03,1.022986846e-03,1.796725604e+00,0.000000000e+00,0.000000000e+00,1.797748591e+00
139,5.900000000e-03,1.020612271e-03,1.796735664e+00,0.000000000e+00,0.000000000e+00,1.797756276e+00
140,5.910000000e-03,1.018247818e-03,1.796745679e+00,0.000000000e+00,0.000000000e+00,1.797763927e+00
141,5.920000000e-03,1.015896080e-03,1.796755647e+00,0.000000000e+00,0.000000000e+00,1.797771543e+00
142,5.930000000e-03,1.013549133e-03,1.796765580e+00,0.000000000e+00,0.000000000e+00,1.797779129e+00
143,5.940000000e-03,1.011215755e-03,1.796775464e+00,0.000000000e+00,0.000000000e+00,1.797786680e+00
144,5.950000000e-03,1.008896320e-03,1.796785300e+00,0.000000000e+00,0.000000000e+00,1.797794197e+00
145,5.960000000e-03,1.006587817e-03,1.796795095e+00,0.000000000e+00,0.000000000e+00,1.797801683e+00
146,5.970000000e-03,1.004292127e-03,1.796804843e+00,0.000000000e+00,0.000000000e+00,1.797809135e+00
147,5.980000000e-03,1.002005105e-03,1.796814552e+00,0.000000000e+00,0.000000000e+00,1.797816557e+00
148,5.990000000e-03,9.997018555e-04,1.796824273e+00,0.000000000e+00,0.000000000e+00,1.797823975e+00
149,6.000000000e-03,9.974088532e-04,1.796833952e+00,0.000000000e+00,0.000000000e+00,1.797831361e+00
150,6.010000000e-03,9.951277323e-04,1.796843586e+00,0.000000000e+00,0.000000000e+00,1.797838713e+00
151,6.020000000e-03,9.927838252e-04,1.796853264e+00,0.000000000e+00,0.000000000e+00,1.797846048e+00
152,6.030000000e-03,9.904280941e-04,1.796862931e+00,0.000000000e+00,0.000000000e+00,1.797853359e+00
153,6.040000000e-03,9.880834079e-04,1.796872555e+00,0.000000000e+00,0.000000000e+00,1.797860639e+00
154,6.050000000e-03,9.857509821e-04,1.796882134e+00,0.000000000e+00,0.000000000e+00,1.797867885e+00
155,6.060000000e-03,9.834306757e-04,1.796891669e+00,0.000000000e+00,0.000000000e+00,1.797875099e+00
156,6.070000000e-03,9.811231495e-04,1.796901158e+00,0.000000000e+00,0.000000000e+00,1.797882281e+00
157,6.080000000e-03,9.788295796e-04,1.796910601e+00,0.000000000e+00,0.000000000e+00,1.797889431e+00
158,6.090000000e-03,9.765496945e-04,1.796919998e+00,0.000000000e+00,0.000000000e+00,1.797896548e+00
159,6.100000000e-03,9.742828800e-04,1.796929350e+00,0.000000000e+00,0.000000000e+00,1.797903633e+00
160,6.110000000e-03,9.720290864e-04,1.796938658e+00,0.000000000e+00,0.000000000e+00,1.797910687e+00
161,6.120000000e-03,9.697882365e-04,1.796947921e+00,0.000000000e+00,0.000000000e+00,1.797917709e+00
162,6.130000000e-03,9.675602529e-04,1.796957140e+00,0.000000000e+00,0.000000000e+00,1.797924700e+00
163,6.140000000e-03,9.653450596e-04,1.796966315e+00,0.000000000e+00,0.000000000e+00,1.797931660e+00
164,6.150000000e-03,9.631425804e-04,1.796975446e+00,0.000000000e+00,0.000000000e+00,1.797938589e+00
165,6.160000000e-03,9.609513842e-04,1.796984536e+00,0.000000000e+00,0.000000000e+00,1.797945488e+00
166,6.170000000e-03,9.587712614e-04,1.796993584e+00,0.000000000e+00,0.000000000e+00,1.797952355e+00
167,6.180000000e-03,9.566034205e-04,1.797002589e+00,0.000000000e+00,0.000000000e+00,1.797959193e+00
168,6.190000000e-03,9.544480076e-04,1.797011552e+00,0.000000000e+00,0.000000000e+00,1.797966000e+00
169,6.200000000e-03,9.523049570e-04,1.797020473e+00,0.000000000e+00,0.000000000e+00,1.797972778e+00
170,6.210000000e-03,9.501741957e-04,1.797029351e+00,0.000000000e+00,0.000000000e+00,1.797979525e+00
