step,max_d,max_H,Solid solve Time,Compute Strain Time,Driving Force Time,Phase Solve Time,Total Step Time
189,1.00000000,1.791826356e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.413104773
190,1.00000000,1.797427347e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.412226915
191,1.00000000,1.803036738e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.418835640
192,1.00000000,1.808654518e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.416653633
193,1.00000000,1.814280689e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.413280487
194,1.00000000,1.819915334e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.411093712
195,1.00000000,1.825558379e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.422072172
196,1.00000000,1.831209819e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.420554876
197,1.00000000,1.836869655e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.419339180
198,1.00000000,1.842537898e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.419449806
199,1.00000000,1.848214539e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.420202732
200,1.00000000,1.853899614e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.420148134
201,1.00000000,1.859593096e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.414054871
202,1.00000000,1.865294972e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.412808895
203,1.00000000,1.871005241e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.387188673
204,1.00000000,1.876723905e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.385782003
205,1.00000000,1.882450961e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.377829552
206,1.00000000,1.888186409e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.376094103
207,1.00000000,1.893930249e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.388578176
208,1.00000000,1.899682481e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.387460232
209,1.00000000,1.905443105e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.380917311
210,1.00000000,1.911212120e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.380668402
211,1.00000000,1.916989527e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.383185148
212,1.00000000,1.922775324e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.387831211
213,1.00000000,1.928569488e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.384113550
214,1.00000000,1.934371956e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.383546591
215,1.00000000,1.940182798e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.383702278
216,1.00000000,1.946002008e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.382307053
217,1.00000000,1.951829609e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.388650894
218,1.00000000,1.957665604e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.386909962
219,1.00000000,1.963509989e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.386053801
220,1.00000000,1.969362760e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.385760069
221,1.00000000,1.975223849e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.384333611
222,1.00000000,1.981093319e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.383579969
223,1.00000000,1.986971177e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.380865812
224,1.00000000,1.992857422e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.378682375
225,1.00000000,1.998752054e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.378058672
226,1.00000000,2.004655073e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.376380444
227,1.00000000,2.010566479e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.379667282
228,1.00000000,2.016486272e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.377047777
229,1.00000000,2.022414436e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.381389618
230,1.00000000,2.028350940e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.379859686
231,1.00000000,2.034295824e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.378055096
232,1.00000000,2.040249094e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.374602795
233,1.00000000,2.046210749e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.384586334
234,1.00000000,2.052180790e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.383447170
235,1.00000000,2.058159215e+06,0.000000000,0.000000000,0.000000000,0.000000000,0.377834320
