step,max_H_nodal,max_psi_plus,max_damage,delta_H,delta_damage,reaction_force,applied_disp
138,1517077.3944,3621188.8299,1.000000,0.0000,0.000000,-0.347364,0.00589000
139,1522267.9144,3633620.4682,1.000000,0.0000,0.000000,-0.345970,0.00590000
140,1527466.9317,3646072.7595,1.000000,0.0000,0.000000,-0.344585,0.00591000
141,1532674.5687,3658545.8726,1.000000,0.0000,0.000000,-0.343208,0.00592000
142,1537890.6391,3671039.4934,1.000000,0.0000,0.000000,-0.341838,0.00593000
143,1543115.3580,3683554.0242,1.000000,0.0000,0.000000,-0.340477,0.00594000
144,1548348.7449,3696089.4459,1.000000,0.0000,0.000000,-0.339125,0.00595000
145,1553590.8445,3708645.9603,1.000000,0.0000,0.000000,-0.337781,0.00596000
146,1558841.7227,3721223.3622,1.000000,0.0000,0.000000,-0.336446,0.00597000
147,1564100.7566,3733820.5892,1.000000,0.0000,0.000000,-0.335119,0.00598000
148,1569365.4168,3746432.5820,1.000000,0.0000,0.000000,-0.333790,0.00599000
149,1574638.3812,3759065.2527,1.000000,0.0000,0.000000,-0.332470,0.00600000
150,1579919.9568,3771718.7367,1.000000,0.0000,0.000000,-0.331157,0.00601000
151,1585197.5493,3784370.5277,1.000000,0.0000,0.000000,-0.329829,0.00602000
152,1590479.8460,3797038.0584,1.000000,0.0000,0.000000,-0.328500,0.00603000
153,1595770.2086,3809725.8433,1.000000,0.0000,0.000000,-0.327180,0.00604000
154,1601068.9591,3822434.1048,1.000000,0.0000,0.000000,-0.325868,0.00605000
155,1606376.1182,3835162.8599,1.000000,0.0000,0.000000,-0.324565,0.00606000
156,1611691.6913,3847912.1142,1.000000,0.0000,0.000000,-0.323270,0.00607000
157,1617015.6449,3860681.8161,1.000000,0.0000,0.000000,-0.321983,0.00608000
158,1622347.9830,3873471.9793,1.000000,0.0000,0.000000,-0.320706,0.00609000
159,1627688.7339,3886282.6374,1.000000,0.0000,0.000000,-0.319437,0.00610000
160,1633037.8982,3899113.7934,1.000000,0.0000,0.000000,-0.318176,0.00611000
161,1638395.4760,3911965.4464,1.000000,0.0000,0.000000,-0.316924,0.00612000
162,1643761.4666,3924837.5954,1.000000,0.0000,0.000000,-0.315680,0.00613000
163,1649135.8694,3937730.2394,1.000000,0.0000,0.000000,-0.314445,0.00614000
164,1654518.6839,3950643.3774,1.000000,0.0000,0.000000,-0.313217,0.00615000
165,1659909.8352,3963576.8998,1.000000,0.0000,0.000000,-0.311997,0.00616000
166,1665309.3172,3976530.8030,1.000000,0.0000,0.000000,-0.310785,0.00617000
167,1670717.1934,3989505.1798,1.000000,0.0000,0.000000,-0.309580,0.00618000
168,1676133.4768,4002500.0444,1.000000,0.0000,0.000000,-0.308384,0.00619000
169,1681558.1679,4015515.3967,1.000000,0.0000,0.000000,-0.307195,0.00620000
170,1686991.2663,4028551.2359,1.000000,0.0000,0.000000,-0.306014,0.00621000
171,1692432.7889,4041607.5863,1.000000,0.0000,0.000000,-0.304841,0.00622000
172,1697882.7347,4054684.4456,1.000000,0.0000,0.000000,-0.303675,0.00623000
173,1703341.0879,4067781.7904,1.000000,0.0000,0.000000,-0.302517,0.00624000
174,1708807.8466,4080899.6192,1.000000,0.0000,0.000000,-0.301367,0.00625000
175,1714283.0105,4094037.9312,1.000000,0.0000,0.000000,-0.300224,0.00626000
176,1719766.5789,4107196.7256,1.000000,0.0000,0.000000,-0.299089,0.00627000
177,1725258.5515,4120376.0015,1.000000,0.0000,0.000000,-0.297960,0.00628000
178,1730758.9278,4133575.7583,1.000000,0.0000,0.000000,-0.296840,0.00629000
179,1736267.7074,4146795.9952,1.000000,0.0000,0.000000,-0.295726,0.00630000
180,1741784.8838,4160036.7025,1.000000,0.0000,0.000000,-0.294620,0.00631000
181,1747320.6671,4173322.4522,1.000000,0.0000,0.000000,-0.293377,0.00632000
182,1752855.7314,4186604.0225,1.000000,0.0000,0.000000,-0.292480,0.00633000
183,1758399.7859,4199900.2958,1.000000,0.0000,0.000000,-0.291417,0.00634000
184,1763949.2334,4213220.3795,1.000000,0.0000,0.000000,-0.290349,0.00635000
185,1769507.4251,4226562.0503,1.000000,0.0000,0.000000,-0.289286,0.00636000
186,1775074.1745,4239924.4705,1.000000,0.0000,0.000000,-0.288227,0.00637000
187,1780649.6847,4253307.9071,1.000000,0.0000,0.000000,-0.287173,0.00638000
188,1786233.8012,4266712.0642,1.000000,0.0000,0.000000,-0.286124,0.00639000
189,1791826.3557,4280136.7301,1.000000,0.0000,0.000000,-0.285082,0.00640000
190,1797427.3469,4293581.9271,1.000000,0.0000,0.000000,-0.284046,0.00641000
191,1803036.7380,4307047.5960,1.000000,0.0000,0.000000,-0.283016,0.00642000
192,1808654.5175,4320533.7221,1.000000,0.0000,0.000000,-0.281992,0.00643000
193,1814280.6891,4334040.3497,1.000000,0.0000,0.000000,-0.280975,0.00644000
