step,displacement,reaction_kN,max_d,max_H,stagger_iter,elapsed_ms
183,0.00634000,0.000291,1.00000000,1758399.7859,14,414.2
184,0.00635000,0.000290,1.00000000,1763949.2334,14,414.7
185,0.00636000,0.000289,1.00000000,1769507.4251,14,420.6
186,0.00637000,0.000288,1.00000000,1775074.1745,14,419.6
187,0.00638000,0.000287,1.00000000,1780649.6847,14,417.5
188,0.00639000,0.000286,1.00000000,1786233.8012,14,413.3
189,0.00640000,0.000285,1.00000000,1791826.3557,14,413.1
190,0.00641000,0.000284,1.00000000,1797427.3469,14,412.2
191,0.00642000,0.000283,1.00000000,1803036.7380,14,418.8
192,0.00643000,0.000282,1.00000000,1808654.5175,14,416.7
193,0.00644000,0.000281,1.00000000,1814280.6891,14,413.3
194,0.00645000,0.000280,1.00000000,1819915.3335,14,411.1
195,0.00646000,0.000279,1.00000000,1825558.3788,14,422.1
196,0.00647000,0.000278,1.00000000,1831209.8194,14,420.6
197,0.00648000,0.000277,1.00000000,1836869.6548,14,419.3
198,0.00649000,0.000276,1.00000000,1842537.8982,14,419.4
199,0.00650000,0.000275,1.00000000,1848214.5393,14,420.2
200,0.00651000,0.000274,1.00000000,1853899.6141,14,420.1
201,0.00652000,0.000273,1.00000000,1859593.0959,14,414.1
202,0.00653000,0.000272,1.00000000,1865294.9719,14,412.8
203,0.00654000,0.000271,1.00000000,1871005.2414,13,387.2
204,0.00655000,0.000270,1.00000000,1876723.9051,13,385.8
205,0.00656000,0.000269,1.00000000,1882450.9606,13,377.8
206,0.00657000,0.000268,1.00000000,1888186.4085,13,376.1
207,0.00658000,0.000267,1.00000000,1893930.2487,13,388.6
208,0.00659000,0.000266,1.00000000,1899682.4810,13,387.5
209,0.00660000,0.000266,1.00000000,1905443.1049,13,380.9
210,0.00661000,0.000265,1.00000000,1911212.1203,13,380.7
211,0.00662000,0.000264,1.00000000,1916989.5269,13,383.2
212,0.00663000,0.000263,1.00000000,1922775.3244,13,387.8
213,0.00664000,0.000262,1.00000000,1928569.4882,13,384.1
214,0.00665000,0.000261,1.00000000,1934371.9558,13,383.5
215,0.00666000,0.000260,1.00000000,1940182.7985,13,383.7
216,0.00667000,0.000259,1.00000000,1946002.0079,13,382.3
217,0.00668000,0.000258,1.00000000,1951829.6086,13,388.7
218,0.00669000,0.000258,1.00000000,1957665.6041,13,386.9
219,0.00670000,0.000257,1.00000000,1963509.9891,13,386.1
220,0.00671000,0.000256,1.00000000,1969362.7605,13,385.8
221,0.00672000,0.000255,1.00000000,1975223.8494,13,384.3
222,0.00673000,0.000254,1.00000000,1981093.3191,13,383.6
223,0.00674000,0.000253,1.00000000,1986971.1766,13,380.9
224,0.00675000,0.000252,1.00000000,1992857.4216,13,378.7
225,0.00676000,0.000252,1.00000000,1998752.0540,13,378.1
226,0.00677000,0.000251,1.00000000,2004655.0733,13,376.4
227,0.00678000,0.000250,1.00000000,2010566.4795,13,379.7
228,0.00679000,0.000249,1.00000000,2016486.2722,13,377.0
229,0.00680000,0.000248,1.00000000,2022414.4359,13,381.4
230,0.00681000,0.000248,1.00000000,2028350.9395,13,379.9
231,0.00682000,0.000247,1.00000000,2034295.8239,13,378.1
232,0.00683000,0.000246,1.00000000,2040249.0938,13,374.6
233,0.00684000,0.000245,1.00000000,2046210.7491,13,384.6
234,0.00685000,0.000244,1.00000000,2052180.7896,13,383.4
235,0.00686000,0.000244,1.00000000,2058159.2150,13,377.8
236,0.00687000,0.000243,1.00000000,2064146.0251,13,378.7
237,0.00688000,0.000242,1.00000000,2070141.2196,13,387.1
238,0.00689000,0.000241,1.00000000,2076144.7983,13,386.3
239,0.00690000,0.000240,1.00000000,2082156.7610,13,380.8
240,0.00691000,0.000240,1.00000000,2088177.1074,14,388.4
241,0.00692000,0.000239,1.00000000,2094205.8366,12,355.7
242,0.00693000,0.000238,1.00000000,2100242.9518,14,388.8
243,0.00694000,0.000237,1.00000000,2106288.4460,12,348.2
244,0.00695000,0.000237,1.00000000,2112342.3269,14,389.1
245,0.00696000,0.000236,1.00000000,2118404.5864,12,348.5
246,0.00697000,0.000235,1.00000000,2124475.2321,12,346.2
247,0.00698000,0.000235,1.00000000,2130554.2581,12,351.1
248,0.00699000,0.000234,1.00000000,2136641.6658,12,344.7
249,0.00700000,0.000233,1.00000000,2142737.4550,12,349.6
250,0.00701000,0.000232,1.00000000,2148841.6255,12,348.4
251,0.00702000,0.000232,1.00000000,2154954.1772,12,345.0
252,0.00703000,0.000231,1.00000000,2161075.1097,12,349.4
253,0.00704000,0.000230,1.00000000,2167204.3824,12,350.3
254,0.00705000,0.000230,1.00000000,2173342.0254,12,348.7
255,0.00706000,0.000229,1.00000000,2179488.0477,12,346.4
256,0.00707000,0.000228,1.00000000,2185642.4495,12,344.8
257,0.00708000,0.000227,1.00000000,2191805.2305,12,349.5
258,0.00709000,0.000227,1.00000000,2197976.3906,12,351.5
259,0.00710000,0.000226,1.00000000,2204155.9295,12,356.1
260,0.00711000,0.000225,1.00000000,2210343.8469,12,355.5
261,0.00712000,0.000225,1.00000000,2216540.1425,12,351.9
262,0.00713000,0.000224,1.00000000,2222744.8162,12,351.0
263,0.00714000,0.000223,1.00000000,2228957.8677,12,349.6
264,0.00715000,0.000223,1.00000000,2235179.2968,12,349.8
265,0.00716000,0.000222,1.00000000,2241409.1031,12,350.3
266,0.00717000,0.000221,1.00000000,2247647.2865,12,349.1
267,0.00718000,0.000221,1.00000000,2253893.8466,12,355.0
268,0.00719000,0.000220,1.00000000,2260148.7834,12,351.8
269,0.00720000,0.000220,1.00000000,2266412.0965,12,350.3
270,0.00721000,0.000219,1.00000000,2272683.7857,12,350.1
271,0.00722000,0.000218,1.00000000,2278963.8507,12,347.9
272,0.00723000,0.000218,1.00000000,2285252.2913,12,344.8
273,0.00724000,0.000217,1.00000000,2291549.1073,12,354.2
274,0.00725000,0.000216,1.00000000,2297854.2984,12,346.0
275,0.00726000,0.000216,1.00000000,2304167.8644,12,355.8
276,0.00727000,0.000215,1.00000000,2310489.8050,12,354.1
277,0.00728000,0.000215,1.00000000,2316820.1201,12,350.2
278,0.00729000,0.000214,1.00000000,2323158.8092,12,350.3
279,0.00730000,0.000213,1.00000000,2329505.8723,12,349.6
280,0.00731000,0.000213,1.00000000,2335861.3102,12,350.9
281,0.00732000,0.000212,1.00000000,2342225.1251,12,346.7
282,0.00733000,0.000212,1.00000000,2348597.3135,12,345.0
283,0.00734000,0.000211,1.00000000,2354977.8557,12,356.9
284,0.00735000,0.000210,1.00000000,2361366.7400,12,362.2
285,0.00736000,0.000210,1.00000000,2367763.9929,13,354.3
286,0.00737000,0.000209,1.00000000,2374169.6171,13,352.8
