step,time,displacement,reaction_kN,max_d,max_H,stagger_iter,elapsed_ms
150,3.875000000e-01,0.77500000,0.12810331,1.00000000,2.470519025e+05,8,125255.101
151,4.000000000e-01,0.80000000,0.13124664,1.00000000,2.631609536e+05,10,156313.220
152,4.125000000e-01,0.82500000,0.13423348,1.00000000,2.797649535e+05,15,234113.788
153,4.250000000e-01,0.85000000,0.08867187,1.00000000,2.968564768e+05,50,743804.825
154,4.375000000e-01,0.87500000,0.02561897,1.00000000,3.057910509e+05,50,805453.080
155,4.500000000e-01,0.90000000,0.02211200,1.00000000,3.063048197e+05,50,805020.245
156,4.625000000e-01,0.92500000,0.02168702,1.00000000,3.208201571e+05,50,707444.598
157,4.750000000e-01,0.95000000,0.02095769,1.00000000,3.377820413e+05,45,700530.554
158,4.875000000e-01,0.97500000,0.02086107,1.00000000,3.548480876e+05,42,595213.834
159,5.000000000e-01,1.00000000,0.02033766,1.00000000,3.728227027e+05,50,769485.488
160,5.125000000e-01,1.02500000,0.02032305,1.00000000,3.908031708e+05,26,388227.502
161,5.250000000e-01,1.05000000,0.02015433,1.00000000,4.096109252e+05,47,665774.106
162,5.375000000e-01,1.07500000,0.01984534,1.00000000,4.287735806e+05,47,697394.624
163,5.500000000e-01,1.10000000,0.01992406,1.00000000,4.480710331e+05,23,340958.707
164,5.625000000e-01,1.12500000,0.01996116,1.00000000,4.682154366e+05,35,488427.925
165,5.750000000e-01,1.15000000,0.01979210,1.00000000,4.888102593e+05,47,670155.950
166,5.875000000e-01,1.17500000,0.01972670,1.00000000,5.095382127e+05,31,466124.744
167,6.000000000e-01,1.20000000,0.01988550,1.00000000,5.306923008e+05,20,294258.258
168,6.125000000e-01,1.22500000,0.02001551,1.00000000,5.526380590e+05,28,399614.145
169,6.250000000e-01,1.25000000,0.01996822,1.00000000,5.750306743e+05,40,587325.097
170,6.375000000e-01,1.27500000,0.01990269,1.00000000,5.975878592e+05,39,587482.720
171,6.500000000e-01,1.30000000,0.02005577,1.00000000,6.203501052e+05,20,297629.666
172,6.625000000e-01,1.32500000,0.02026821,1.00000000,6.439428867e+05,16,240250.097
173,6.750000000e-01,1.35000000,0.02047077,1.00000000,6.681182146e+05,20,290424.732
174,6.875000000e-01,1.37500000,0.02054478,1.00000000,6.927519667e+05,37,535067.282
175,7.000000000e-01,1.40000000,0.02056612,1.00000000,7.176106116e+05,40,616234.048
176,7.125000000e-01,1.42500000,0.02065318,1.00000000,7.426342556e+05,28,441607.580
177,7.250000000e-01,1.45000000,0.02085979,1.00000000,7.681243341e+05,17,265417.373
178,7.375000000e-01,1.47500000,0.02110018,1.00000000,7.943771369e+05,14,219680.663
179,7.500000000e-01,1.50000000,0.02135221,1.00000000,8.211766056e+05,13,200535.055
180,7.625000000e-01,1.52500000,0.02159805,1.00000000,8.484659123e+05,15,226613.746
181,7.750000000e-01,1.55000000,0.02179051,1.00000000,8.762048642e+05,26,381723.638
182,7.875000000e-01,1.57500000,0.02187707,1.00000000,9.042794539e+05,37,573556.520
183,8.000000000e-01,1.60000000,0.02195362,1.00000000,9.324299975e+05,36,576500.585
184,8.125000000e-01,1.62500000,0.02215471,1.00000000,9.607477611e+05,19,306294.990
185,8.250000000e-01,1.65000000,0.02240146,1.00000000,9.899186943e+05,14,222882.040
186,8.375000000e-01,1.67500000,0.02266335,1.00000000,1.019715663e+06,12,191344.946
187,8.500000000e-01,1.70000000,0.02293178,1.00000000,1.050016338e+06,11,175142.918
188,8.625000000e-01,1.72500000,0.02320236,1.00000000,1.080783621e+06,11,178429.431
189,8.750000000e-01,1.75000000,0.02347206,1.00000000,1.111993649e+06,12,195513.964
190,8.875000000e-01,1.77500000,0.02373205,1.00000000,1.143618506e+06,15,242962.726
191,9.000000000e-01,1.80000000,0.02394597,1.00000000,1.175583244e+06,26,419725.458
192,9.125000000e-01,1.82500000,0.02411940,1.00000000,1.207596485e+06,28,421259.329
193,9.250000000e-01,1.85000000,0.02434610,1.00000000,1.239726869e+06,18,263140.134
194,9.375000000e-01,1.87500000,0.02459179,1.00000000,1.272724406e+06,16,233108.912
195,9.500000000e-01,1.90000000,0.02483246,1.00000000,1.306340199e+06,18,260224.409
196,9.625000000e-01,1.92500000,0.02506464,1.00000000,1.340394257e+06,20,290561.555
197,9.750000000e-01,1.95000000,0.02531045,1.00000000,1.374835759e+06,17,247822.634
198,9.875000000e-01,1.97500000,0.02556470,1.00000000,1.409769662e+06,15,220187.481
199,1.000000000e+00,2.00000000,0.02581858,1.00000000,1.445155045e+06,16,234716.046
