step,time,elastic,fracture,kinetic,external,total
81,1.464285714e-01,1.551893477e+01,1.052840837e+02,0.000000000e+00,0.000000000e+00,1.208030185e+02
82,1.482142857e-01,1.589046169e+01,1.052952058e+02,0.000000000e+00,0.000000000e+00,1.211856675e+02
83,1.500000000e-01,1.626633811e+01,1.053063017e+02,0.000000000e+00,0.000000000e+00,1.215726398e+02
84,1.517857143e-01,1.664654885e+01,1.053173883e+02,0.000000000e+00,0.000000000e+00,1.219639372e+02
85,1.535714286e-01,1.703108349e+01,1.053284778e+02,0.000000000e+00,0.000000000e+00,1.223595613e+02
86,1.553571429e-01,1.741992784e+01,1.053395853e+02,0.000000000e+00,0.000000000e+00,1.227595131e+02
87,1.571428571e-01,1.781307081e+01,1.053507226e+02,0.000000000e+00,0.000000000e+00,1.231637934e+02
88,1.589285714e-01,1.821049907e+01,1.053619037e+02,0.000000000e+00,0.000000000e+00,1.235724028e+02
89,1.607142857e-01,1.861220268e+01,1.053731384e+02,0.000000000e+00,0.000000000e+00,1.239853411e+02
90,1.625000000e-01,1.901816647e+01,1.053844418e+02,0.000000000e+00,0.000000000e+00,1.244026083e+02
91,1.642857143e-01,1.942838232e+01,1.053958214e+02,0.000000000e+00,0.000000000e+00,1.248242037e+02
92,1.660714286e-01,1.984283422e+01,1.054072924e+02,0.000000000e+00,0.000000000e+00,1.252501266e+02
93,1.678571429e-01,2.026151357e+01,1.054188623e+02,0.000000000e+00,0.000000000e+00,1.256803759e+02
94,1.696428571e-01,2.068440492e+01,1.054305452e+02,0.000000000e+00,0.000000000e+00,1.261149501e+02
95,1.714285714e-01,2.111149915e+01,1.054423486e+02,0.000000000e+00,0.000000000e+00,1.265538478e+02
96,1.732142857e-01,2.154278150e+01,1.054542855e+02,0.000000000e+00,0.000000000e+00,1.269970670e+02
97,1.750000000e-01,2.197824243e+01,1.054663632e+02,0.000000000e+00,0.000000000e+00,1.274446056e+02
98,1.767857143e-01,2.241786706e+01,1.054785944e+02,0.000000000e+00,0.000000000e+00,1.278964615e+02
99,1.785714286e-01,2.286164565e+01,1.054909863e+02,0.000000000e+00,0.000000000e+00,1.283526320e+02
100,1.803571429e-01,2.330956425e+01,1.055035503e+02,0.000000000e+00,0.000000000e+00,1.288131145e+02
101,1.821428571e-01,2.376161132e+01,1.055162949e+02,0.000000000e+00,0.000000000e+00,1.292779063e+02
102,1.839285714e-01,2.421777375e+01,1.055292304e+02,0.000000000e+00,0.000000000e+00,1.297470041e+02
103,1.857142857e-01,2.467803955e+01,1.055423653e+02,0.000000000e+00,0.000000000e+00,1.302204049e+02
104,1.875000000e-01,2.514239545e+01,1.055557097e+02,0.000000000e+00,0.000000000e+00,1.306981051e+02
105,1.892857143e-01,2.561082996e+01,1.055692714e+02,0.000000000e+00,0.000000000e+00,1.311801013e+02
106,1.910714286e-01,2.608332970e+01,1.055830600e+02,0.000000000e+00,0.000000000e+00,1.316663897e+02
107,1.928571429e-01,2.655988258e+01,1.055970838e+02,0.000000000e+00,0.000000000e+00,1.321569664e+02
108,1.946428571e-01,2.704047571e+01,1.056113518e+02,0.000000000e+00,0.000000000e+00,1.326518275e+02
109,1.964285714e-01,2.752509559e+01,1.056258731e+02,0.000000000e+00,0.000000000e+00,1.331509687e+02
110,1.982142857e-01,2.801373035e+01,1.056406554e+02,0.000000000e+00,0.000000000e+00,1.336543858e+02
111,2.000000000e-01,2.850636553e+01,1.056557088e+02,0.000000000e+00,0.000000000e+00,1.341620743e+02
112,2.017857143e-01,2.900298872e+01,1.056710411e+02,0.000000000e+00,0.000000000e+00,1.346740298e+02
113,2.035714286e-01,2.950358679e+01,1.056866608e+02,0.000000000e+00,0.000000000e+00,1.351902476e+02
114,2.053571429e-01,3.000814568e+01,1.057025772e+02,0.000000000e+00,0.000000000e+00,1.357107228e+02
115,2.071428571e-01,3.051665226e+01,1.057187984e+02,0.000000000e+00,0.000000000e+00,1.362354507e+02
116,2.089285714e-01,3.102909343e+01,1.057353326e+02,0.000000000e+00,0.000000000e+00,1.367644261e+02
117,2.107142857e-01,3.154545465e+01,1.057521892e+02,0.000000000e+00,0.000000000e+00,1.372976439e+02
118,2.125000000e-01,3.206572274e+01,1.057693760e+02,0.000000000e+00,0.000000000e+00,1.378350988e+02
119,2.142857143e-01,3.258988412e+01,1.057869013e+02,0.000000000e+00,0.000000000e+00,1.383767854e+02
120,2.160714286e-01,3.311792409e+01,1.058047742e+02,0.000000000e+00,0.000000000e+00,1.389226983e+02
121,2.178571429e-01,3.364982886e+01,1.058230031e+02,0.000000000e+00,0.000000000e+00,1.394728319e+02
122,2.196428571e-01,3.418558476e+01,1.058415957e+02,0.000000000e+00,0.000000000e+00,1.400271805e+02
123,2.214285714e-01,3.472517789e+01,1.058605604e+02,0.000000000e+00,0.000000000e+00,1.405857383e+02
124,2.232142857e-01,3.526859218e+01,1.058799073e+02,0.000000000e+00,0.000000000e+00,1.411484994e+02
125,2.250000000e-01,3.581581395e+01,1.058996441e+02,0.000000000e+00,0.000000000e+00,1.417154580e+02
126,2.267857143e-01,3.636682885e+01,1.059197791e+02,0.000000000e+00,0.000000000e+00,1.422866079e+02
127,2.285714286e-01,3.692162155e+01,1.059403215e+02,0.000000000e+00,0.000000000e+00,1.428619430e+02
128,2.303571429e-01,3.748017656e+01,1.059612805e+02,0.000000000e+00,0.000000000e+00,1.434414571e+02
129,2.321428571e-01,3.804247948e+01,1.059826642e+02,0.000000000e+00,0.000000000e+00,1.440251437e+02
130,2.339285714e-01,3.860851571e+01,1.060044807e+02,0.000000000e+00,0.000000000e+00,1.446129965e+02
131,2.357142857e-01,3.917826918e+01,1.060267396e+02,0.000000000e+00,0.000000000e+00,1.452050088e+02
132,2.375000000e-01,3.975172401e+01,1.060494501e+02,0.000000000e+00,0.000000000e+00,1.458011741e+02
133,2.392857143e-01,4.032887036e+01,1.060727600e+02,0.000000000e+00,0.000000000e+00,1.464016304e+02
134,2.410714286e-01,4.090969246e+01,1.060963859e+02,0.000000000e+00,0.000000000e+00,1.470060783e+02
135,2.428571429e-01,4.149416767e+01,1.061204929e+02,0.000000000e+00,0.000000000e+00,1.476146605e+02
136,2.446428571e-01,4.208228240e+01,1.061450858e+02,0.000000000e+00,0.000000000e+00,1.482273682e+02
137,2.464285714e-01,4.267402016e+01,1.061701743e+02,0.000000000e+00,0.000000000e+00,1.488441944e+02
138,2.482142857e-01,4.326936586e+01,1.061957663e+02,0.000000000e+00,0.000000000e+00,1.494651321e+02
139,2.500000000e-01,4.386830224e+01,1.062218718e+02,0.000000000e+00,0.000000000e+00,1.500901740e+02
