step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
13140,26.5342,24.298037,1,34645.84,0.0377,0
13160,26.5746,24.345212,1,1168087.22,1.2698,0
13180,26.6150,24.358406,1,326667.79,0.3551,0
13200,26.6553,24.371599,1,326667.79,0.3551,0
13220,26.6957,24.433366,1,1529401.00,1.6626,0
13240,26.7361,24.434766,1,34645.99,0.0377,0
13260,26.7765,24.600379,1,4100681.37,4.4578,0
13280,26.8169,24.609412,1,223643.55,0.2431,0
13300,26.8573,24.609412,1,0.00,0.0000,0
13320,26.8977,24.609412,1,0.00,0.0000,0
13340,26.9381,24.618307,1,220253.34,0.2394,0
13360,26.9784,24.618307,1,0.00,0.0000,0
13380,27.0188,24.618307,1,0.00,0.0000,0
13400,27.0592,24.618307,1,0.00,0.0000,0
13420,27.0996,24.629957,1,288450.77,0.3136,0
13440,27.1400,24.629957,1,0.00,0.0000,0
13460,27.1804,24.629957,1,0.00,0.0000,0
13480,27.2208,24.629957,1,0.00,0.0000,0
13500,27.2611,24.629957,1,0.00,0.0000,0
13520,27.3015,24.629957,1,0.00,0.0000,0
13540,27.3419,24.976202,1,8573225.90,9.3198,0
13560,27.3823,25.058040,1,2026339.05,2.2028,0
13580,27.4227,25.071315,1,328703.77,0.3573,0
13600,27.4631,25.094821,1,582007.63,0.6327,0
13620,27.5035,25.097656,1,70200.70,0.0763,0
13640,27.5439,25.159388,1,1528509.94,1.6616,0
13660,27.5842,25.172581,1,326684.93,0.3551,0
13680,27.6246,25.182975,1,257341.02,0.2798,0
13700,27.6650,25.234348,1,1272025.19,1.3828,0
13720,27.7054,25.259335,1,618689.60,0.6726,0
13740,27.7458,25.284322,1,618692.27,0.6726,0
13760,27.7862,25.309309,1,618700.66,0.6726,0
13780,27.8266,25.396558,1,2160315.90,2.3484,0
13800,27.8669,25.479424,1,2051804.02,2.2305,0
13820,27.9073,25.503405,1,593801.58,0.6455,0
13840,27.9477,25.509412,1,148717.10,0.1617,0
13860,27.9881,25.518307,1,220253.34,0.2394,0
13880,28.0285,25.518307,1,0.00,0.0000,0
13900,28.0689,25.518307,1,0.00,0.0000,0
13920,28.1093,25.518307,1,0.00,0.0000,0
13940,28.1497,25.518307,1,0.00,0.0000,0
13960,28.1900,25.518307,1,0.00,0.0000,0
13980,28.2304,25.518307,1,0.00,0.0000,0
14000,28.2708,25.518307,1,0.00,0.0000,0
14020,28.3112,25.518307,1,0.00,0.0000,0
14040,28.3516,25.518307,1,0.00,0.0000,0
14060,28.3920,25.518307,1,0.00,0.0000,0
14080,28.4324,25.518307,1,0.00,0.0000,0
14100,28.4728,25.518307,1,0.00,0.0000,0
14120,28.5131,25.963349,1,11019480.49,11.9791,0
14140,28.5535,25.972727,1,232185.95,0.2524,0
14160,28.5939,26.010368,1,932028.39,1.0132,0
14180,28.6343,26.023535,1,326022.06,0.3544,0
14200,28.6747,26.048522,1,618689.60,0.6726,0
14220,28.7151,26.073509,1,618689.60,0.6726,0
14240,28.7555,26.098496,1,618689.60,0.6726,0
14260,28.7958,26.123483,1,618689.60,0.6726,0
14280,28.8362,26.160264,1,910711.40,0.9900,0
14300,28.8766,26.183852,1,584043.61,0.6349,0
14320,28.9170,26.272006,1,2182736.59,2.3728,0
14340,28.9574,26.283799,1,292021.80,0.3175,0
14360,28.9978,26.285199,1,34645.99,0.0377,0
14380,29.0382,26.296993,1,292021.80,0.3175,0
14400,29.0786,26.345198,1,1193597.57,1.2975,0
14420,29.1189,26.418307,1,1810209.30,1.9678,0
14440,29.1593,26.418307,1,0.00,0.0000,0
14460,29.1997,26.418307,1,0.00,0.0000,0
14480,29.2401,26.429957,1,288450.77,0.3136,0
14500,29.2805,26.429957,1,0.00,0.0000,0
14520,29.3209,26.429957,1,0.00,0.0000,0
14540,29.3613,26.429957,1,0.00,0.0000,0
14560,29.4017,26.429957,1,0.00,0.0000,0
14580,29.4420,26.429957,1,0.00,0.0000,0
14600,29.4824,26.429957,1,0.00,0.0000,0
14620,29.5228,26.429957,1,0.00,0.0000,0
14640,29.5632,26.429957,1,0.00,0.0000,0
14660,29.6036,26.842912,1,10224989.60,11.1154,0
14680,29.6440,26.861844,1,468757.13,0.5096,0
14700,29.6844,26.882932,1,522158.58,0.5676,0
14720,29.7247,26.897381,1,357775.14,0.3889,0
14740,29.7651,26.936258,1,962615.65,1.0464,0
14760,29.8055,26.961245,1,618689.60,0.6726,0
14780,29.8459,26.973039,1,292021.80,0.3175,0
14800,29.8863,27.011219,1,945357.39,1.0277,0
14820,29.9267,27.034807,1,584043.61,0.6349,0
14840,29.9671,27.046601,1,292021.80,0.3175,0
14860,30.0075,27.059794,1,326667.79,0.3551,0
14880,30.0478,27.172939,1,2801532.90,3.0455,0
14900,30.0882,27.184729,1,291915.10,0.3173,0
14920,30.1286,27.197948,1,327308.03,0.3558,0
14940,30.1690,27.209716,1,291381.56,0.3168,0
14960,30.2094,27.279085,1,1717626.21,1.8672,0
14980,30.2498,27.318307,1,971150.67,1.0557,0
15000,30.2902,27.318307,1,0.00,0.0000,0
15020,30.3305,27.318307,1,0.00,0.0000,0
15040,30.3709,27.318307,1,0.00,0.0000,0
15060,30.4113,27.318307,1,0.00,0.0000,0
15080,30.4517,27.318307,1,0.00,0.0000,0
15100,30.4921,27.318307,1,0.00,0.0000,0
15120,30.5325,27.318307,1,0.00,0.0000,0
15140,30.5729,27.318307,1,0.00,0.0000,0
15160,30.6133,27.318307,1,0.00,0.0000,0
15180,30.6536,27.318307,1,0.00,0.0000,0
15200,30.6940,27.318307,1,0.00,0.0000,0
15220,30.7344,27.318307,1,0.00,0.0000,0
15240,30.7748,27.318307,1,0.00,0.0000,0
15260,30.8152,27.318307,1,0.00,0.0000,0
15280,30.8556,27.318307,1,0.00,0.0000,0
15300,30.8960,27.811026,1,12199966.16,13.2624,0
15320,30.9364,27.822595,1,286475.13,0.3114,0
15340,30.9767,27.823995,1,34645.99,0.0377,0
15360,31.0171,27.860775,1,910711.40,0.9900,0
15380,31.0575,27.872569,1,292026.66,0.3175,0
15400,31.0979,27.922543,1,1237374.35,1.3451,0
15420,31.1383,27.947530,1,618689.60,0.6726,0
15440,31.1787,27.948929,1,34645.99,0.0377,0
15460,31.2191,27.948929,1,0.00,0.0000,0
15480,31.2594,27.972517,1,584043.61,0.6349,0
15500,31.2998,28.122128,1,3704434.25,4.0270,0
15520,31.3402,28.200379,1,1937553.34,2.1063,0
15540,31.3806,28.209412,1,223643.55,0.2431,0
15560,31.4210,28.218307,1,220253.34,0.2394,0
15580,31.4614,28.218307,1,0.00,0.0000,0
15600,31.5018,28.229957,1,288450.77,0.3136,0
15620,31.5422,28.229957,1,0.00,0.0000,0
15640,31.5825,28.244184,1,352275.58,0.3830,0
15660,31.6229,28.244184,1,0.00,0.0000,0
15680,31.6633,28.244184,1,0.00,0.0000,0
15700,31.7037,28.244184,1,0.00,0.0000,0
15720,31.7441,28.244184,1,0.00,0.0000,0
15740,31.7845,28.244184,1,0.00,0.0000,0
15760,31.8249,28.244184,1,0.00,0.0000,0
15780,31.8653,28.244184,1,0.00,0.0000,0
15800,31.9056,28.244184,1,0.00,0.0000,0
15820,31.9460,28.244184,1,0.00,0.0000,0
15840,31.9864,28.244184,1,0.00,0.0000,0
15860,32.0268,28.244184,1,0.00,0.0000,0
15880,32.0672,28.244184,1,0.00,0.0000,0
15900,32.1076,28.244184,1,0.00,0.0000,0
15920,32.1480,28.724883,1,11902345.49,12.9388,0
15940,32.1883,28.748491,1,584551.49,0.6355,0
15960,32.2287,28.761693,1,326905.45,0.3554,0
15980,32.2691,28.811679,1,1237657.29,1.3454,0
16000,32.3095,28.860253,1,1202733.21,1.3075,0
16020,32.3499,28.911626,1,1272025.19,1.3828,0
16040,32.3903,28.936613,1,618689.60,0.6726,0
16060,32.4307,28.948407,1,292021.80,0.3175,0
16080,32.4711,28.948407,1,0.00,0.0000,0
16100,32.5114,28.961600,1,326667.79,0.3551,0
16120,32.5518,28.973394,1,292021.80,0.3175,0
16140,32.5922,29.118307,1,3588117.89,3.9006,0
16160,32.6326,29.118307,1,0.00,0.0000,0
16180,32.6730,29.129957,1,288450.77,0.3136,0
16200,32.7134,29.129957,1,0.00,0.0000,0
16220,32.7538,29.129957,1,0.00,0.0000,0
16240,32.7941,29.144184,1,352275.58,0.3830,0
16260,32.8345,29.144184,1,0.00,0.0000,0
16280,32.8749,29.144184,1,0.00,0.0000,0
16300,32.9153,29.144184,1,0.00,0.0000,0
16320,32.9557,29.144184,1,0.00,0.0000,0
16340,32.9961,29.144184,1,0.00,0.0000,0
16360,33.0365,29.144184,1,0.00,0.0000,0
16380,33.0769,29.144184,1,0.00,0.0000,0
16400,33.1172,29.144184,1,0.00,0.0000,0
16420,33.1576,29.144184,1,0.00,0.0000,0
16440,33.1980,29.144184,1,0.00,0.0000,0
16460,33.2384,29.144184,1,0.00,0.0000,0
16480,33.2788,29.144184,1,0.00,0.0000,0
16500,33.3192,29.144184,1,0.00,0.0000,0
16520,33.3596,29.636204,1,12182659.67,13.2436,0
