rho_inf,time,E_lo_over_initial,E_hi_over_initial
5.000000000000000000e-01,3.899999999999999994e-02,9.999999343483162439e-01,3.236128965556957986e-10
5.000000000000000000e-01,4.000000000000000083e-02,9.999999310346657788e-01,2.077933575252254447e-10
5.000000000000000000e-01,4.100000000000000172e-02,9.999999276449678121e-01,1.319684918186611165e-10
5.000000000000000000e-01,4.200000000000000261e-02,9.999999241797483673e-01,6.434612708468360685e-11
5.000000000000000000e-01,4.300000000000000350e-02,9.999999206395455698e-01,3.196563204908270613e-11
5.000000000000000000e-01,4.399999999999999745e-02,9.999999170249096458e-01,2.125979088682008049e-11
5.000000000000000000e-01,4.499999999999999833e-02,9.999999133364020354e-01,1.291814273327414437e-11
5.000000000000000000e-01,4.599999999999999922e-02,9.999999095745959465e-01,6.103281707094764053e-12
5.000000000000000000e-01,4.700000000000000011e-02,9.999999057400766889e-01,3.197389470650364120e-12
5.000000000000000000e-01,4.800000000000000100e-02,9.999999018334400080e-01,2.166034670258359686e-12
5.000000000000000000e-01,4.900000000000000189e-02,9.999998978552943063e-01,1.252449502240706156e-12
5.000000000000000000e-01,5.000000000000000278e-02,9.999998938062580889e-01,5.809474265005973070e-13
5.000000000000000000e-01,5.100000000000000366e-02,9.999998896869622955e-01,3.232852282262045187e-13
5.000000000000000000e-01,5.200000000000000455e-02,9.999998854980476359e-01,2.192375723248238056e-13
5.000000000000000000e-01,5.299999999999999850e-02,9.999998812401671433e-01,1.203862553015898332e-13
5.000000000000000000e-01,5.399999999999999939e-02,9.999998769139837318e-01,5.569242544747284707e-14
5.000000000000000000e-01,5.500000000000000028e-02,9.999998725201709737e-01,3.294469752059065124e-14
5.000000000000000000e-01,5.600000000000000117e-02,9.999998680594142098e-01,2.200650073515456507e-14
5.000000000000000000e-01,5.700000000000000205e-02,9.999998635324084395e-01,1.149068041116990982e-14
5.000000000000000000e-01,5.800000000000000294e-02,9.999998589398594318e-01,5.393717572836232686e-15
5.000000000000000000e-01,5.900000000000000383e-02,9.999998542824836134e-01,3.371835301569854538e-15
5.000000000000000000e-01,5.999999999999999778e-02,9.999998495610067373e-01,2.188209576240331317e-15
5.000000000000000000e-01,6.099999999999999867e-02,9.999998447761656584e-01,1.091544180501455626e-15
5.000000000000000000e-01,6.199999999999999956e-02,9.999998399287068906e-01,5.288298689167060115e-16
5.000000000000000000e-01,6.300000000000000044e-02,9.999998350193868291e-01,3.453560672555963697e-16
5.000000000000000000e-01,6.400000000000000133e-02,9.999998300489709724e-01,2.154286690311130982e-16
5.000000000000000000e-01,6.500000000000000222e-02,9.999998250182356996e-01,1.034922161551806342e-16
5.000000000000000000e-01,6.600000000000000311e-02,9.999998199279662714e-01,5.252355745487967212e-17
5.000000000000000000e-01,6.700000000000000400e-02,9.999998147789570524e-01,3.528275647602191836e-17
5.000000000000000000e-01,6.800000000000000488e-02,9.999998095720119551e-01,2.100005402788332156e-17
5.000000000000000000e-01,6.900000000000000577e-02,9.999998043079443288e-01,9.826714063487688558e-18
5.000000000000000000e-01,7.000000000000000666e-02,9.999997989875761828e-01,5.279454731334346551e-18
5.000000000000000000e-01,7.100000000000000755e-02,9.999997936117391850e-01,3.585597486105961663e-18
5.000000000000000000e-01,7.200000000000000844e-02,9.999997881812718870e-01,2.028230335541057460e-18
5.000000000000000000e-01,7.299999999999999545e-02,9.999997826970238313e-01,9.378076947812321201e-19
5.000000000000000000e-01,7.399999999999999634e-02,9.999997771598514440e-01,5.358072504972770336e-19
