element,centroid_x,centroid_y,E,Gc,history
71,0.9444444444444443,0.13888888888888887,1000.0,1.0,3.1999999999999997
72,1.0555555555555554,0.1111111111111111,1000.0,1.0,3.1999999999999997
73,1.0277777777777777,0.13888888888888887,1000.0,1.0,3.1999999999999997
74,1.1388888888888888,0.1111111111111111,1000.0,1.0,3.2
75,1.111111111111111,0.13888888888888887,1000.0,1.0,3.2
76,1.222222222222222,0.1111111111111111,1000.0,1.0,3.1999999999999997
77,1.1944444444444444,0.13888888888888887,1000.0,1.0,3.1999999999999997
78,1.3055555555555554,0.1111111111111111,1000.0,0.35,3.2
79,1.2777777777777777,0.13888888888888887,1000.0,0.35,3.2
80,1.3888888888888886,0.1111111111111111,1000.0,0.35,3.2
81,1.361111111111111,0.13888888888888887,1000.0,0.35,3.2
82,1.472222222222222,0.1111111111111111,1000.0,1.0,3.1999999999999993
83,1.4444444444444444,0.13888888888888887,1000.0,1.0,3.1999999999999993
84,1.5555555555555554,0.1111111111111111,1000.0,1.0,3.1999999999999997
85,1.5277777777777777,0.13888888888888887,1000.0,1.0,3.1999999999999997
86,1.6388888888888886,0.1111111111111111,1000.0,1.0,3.1999999999999997
87,1.611111111111111,0.13888888888888887,1000.0,1.0,3.1999999999999997
88,1.722222222222222,0.1111111111111111,1000.0,1.0,3.1999999999999997
89,1.6944444444444444,0.13888888888888887,1000.0,1.0,3.1999999999999997
90,1.8055555555555554,0.1111111111111111,1000.0,1.0,3.1999999999999997
91,1.7777777777777777,0.13888888888888887,1000.0,1.0,3.1999999999999997
92,1.8888888888888886,0.1111111111111111,1000.0,1.0,3.1999999999999997
93,1.861111111111111,0.13888888888888887,1000.0,1.0,3.1999999999999997
94,1.972222222222222,0.1111111111111111,1000.0,1.0,3.1999999999999997
95,1.9444444444444444,0.13888888888888887,1000.0,1.0,3.1999999999999997
96,0.05555555555555555,0.19444444444444442,1000.0,1.0,3.200000000000001
97,0.027777777777777776,0.2222222222222222,1000.0,1.0,3.200000000000001
98,0.13888888888888887,0.19444444444444442,1000.0,1.0,3.200000000000001
99,0.1111111111111111,0.2222222222222222,1000.0,1.0,3.200000000000001
100,0.2222222222222222,0.19444444444444442,1000.0,1.0,3.199999999999999
101,0.19444444444444442,0.2222222222222222,1000.0,1.0,3.199999999999999
102,0.3055555555555555,0.19444444444444442,1000.0,1.0,3.199999999999999
103,0.27777777777777773,0.2222222222222222,1000.0,1.0,3.199999999999999
104,0.38888888888888884,0.19444444444444442,1000.0,1.0,3.1999999999999997
105,0.3611111111111111,0.2222222222222222,1000.0,1.0,3.1999999999999997
106,0.47222222222222215,0.19444444444444442,1000.0,1.0,3.199999999999999
107,0.4444444444444444,0.2222222222222222,1000.0,1.0,3.199999999999999
108,0.5555555555555555,0.19444444444444442,1000.0,1.0,3.199999999999999
109,0.5277777777777778,0.2222222222222222,1000.0,1.0,3.199999999999999
110,0.6388888888888888,0.19444444444444442,1000.0,1.0,3.199999999999999
111,0.611111111111111,0.2222222222222222,1000.0,1.0,3.199999999999999
112,0.7222222222222222,0.19444444444444442,1000.0,1.0,3.199999999999999
113,0.6944444444444443,0.2222222222222222,1000.0,1.0,3.199999999999999
114,0.8055555555555555,0.19444444444444442,1000.0,1.0,3.1999999999999997
115,0.7777777777777777,0.2222222222222222,1000.0,1.0,3.1999999999999997
116,0.8888888888888888,0.19444444444444442,1000.0,1.0,3.199999999999999
117,0.861111111111111,0.2222222222222222,1000.0,1.0,3.199999999999999
118,0.9722222222222222,0.19444444444444442,1000.0,1.0,3.1999999999999997
119,0.9444444444444443,0.2222222222222222,1000.0,1.0,3.1999999999999997
120,1.0555555555555554,0.19444444444444442,1000.0,1.0,3.1999999999999993
121,1.0277777777777777,0.2222222222222222,1000.0,1.0,3.1999999999999993
122,1.1388888888888888,0.19444444444444442,1000.0,1.0,3.1999999999999997
123,1.111111111111111,0.2222222222222222,1000.0,1.0,3.1999999999999997
124,1.222222222222222,0.19444444444444442,1000.0,1.0,3.1999999999999997
125,1.1944444444444444,0.2222222222222222,1000.0,1.0,3.1999999999999997
126,1.3055555555555554,0.19444444444444442,1000.0,0.35,3.1999999999999997
127,1.2777777777777777,0.2222222222222222,1000.0,0.35,3.1999999999999997
128,1.3888888888888886,0.19444444444444442,1000.0,0.35,3.1999999999999997
129,1.361111111111111,0.2222222222222222,1000.0,0.35,3.1999999999999997
130,1.472222222222222,0.19444444444444442,1000.0,1.0,3.1999999999999997
131,1.4444444444444444,0.2222222222222222,1000.0,1.0,3.1999999999999997
132,1.5555555555555554,0.19444444444444442,1000.0,1.0,3.1999999999999993
133,1.5277777777777777,0.2222222222222222,1000.0,1.0,3.1999999999999993
134,1.6388888888888886,0.19444444444444442,1000.0,1.0,3.1999999999999993
135,1.611111111111111,0.2222222222222222,1000.0,1.0,3.1999999999999993
136,1.722222222222222,0.19444444444444442,1000.0,1.0,3.1999999999999993
137,1.6944444444444444,0.2222222222222222,1000.0,1.0,3.1999999999999993
138,1.8055555555555554,0.19444444444444442,1000.0,1.0,3.1999999999999993
139,1.7777777777777777,0.2222222222222222,1000.0,1.0,3.1999999999999993
140,1.8888888888888886,0.19444444444444442,1000.0,1.0,3.1999999999999993
141,1.861111111111111,0.2222222222222222,1000.0,1.0,3.1999999999999993
142,1.972222222222222,0.19444444444444442,1000.0,1.0,3.1999999999999997
143,1.9444444444444444,0.2222222222222222,1000.0,1.0,3.1999999999999997
144,0.05555555555555555,0.27777777777777773,1000.0,1.0,3.199999999999999
145,0.027777777777777776,0.3055555555555555,1000.0,1.0,3.199999999999999
146,0.13888888888888887,0.27777777777777773,1000.0,1.0,3.199999999999999
147,0.1111111111111111,0.3055555555555555,1000.0,1.0,3.199999999999999
148,0.2222222222222222,0.27777777777777773,1000.0,1.0,3.199999999999997
149,0.19444444444444442,0.3055555555555555,1000.0,1.0,3.199999999999997
150,0.3055555555555555,0.27777777777777773,1000.0,1.0,3.1999999999999975
151,0.27777777777777773,0.3055555555555555,1000.0,1.0,3.1999999999999975
152,0.38888888888888884,0.27777777777777773,1000.0,1.0,3.1999999999999966
153,0.3611111111111111,0.3055555555555555,1000.0,1.0,3.1999999999999966
154,0.47222222222222215,0.27777777777777773,1000.0,1.0,3.199999999999999
155,0.4444444444444444,0.3055555555555555,1000.0,1.0,3.199999999999999
156,0.5555555555555555,0.27777777777777773,1000.0,1.0,3.199999999999997
157,0.5277777777777778,0.3055555555555555,1000.0,1.0,3.199999999999997
158,0.6388888888888888,0.27777777777777773,1000.0,1.0,3.199999999999999
