node,x,y,damage
44,1.5833333333333333,0.08333333333333333,0.3436482921542421
45,1.6666666666666665,0.08333333333333333,0.3399070535799818
46,1.75,0.08333333333333333,0.33895131555980457
47,1.8333333333333333,0.08333333333333333,0.3387078547772484
48,1.9166666666666665,0.08333333333333333,0.3386469008953291
49,2.0,0.08333333333333333,0.3386352471977237
50,0.0,0.16666666666666666,0.3386225583767811
51,0.08333333333333333,0.16666666666666666,0.3386204228904505
52,0.16666666666666666,0.16666666666666666,0.33861012158163484
53,0.25,0.16666666666666666,0.33856928775526424
54,0.3333333333333333,0.16666666666666666,0.33841348140546407
55,0.41666666666666663,0.16666666666666666,0.33783691916753655
56,0.5,0.16666666666666666,0.3359897082145331
57,0.5833333333333333,0.16666666666666666,0.332573945245886
58,0.6666666666666666,0.16666666666666666,0.33136094667034277
59,0.75,0.16666666666666666,0.3336425395887068
60,0.8333333333333333,0.16666666666666666,0.3361903675690364
61,0.9166666666666666,0.16666666666666666,0.3378750973631181
62,1.0,0.16666666666666666,0.33944184332788574
63,1.0833333333333333,0.16666666666666666,0.34337585050989927
64,1.1666666666666665,0.16666666666666666,0.35824774754153327
65,1.25,0.16666666666666666,0.41731260448348884
66,1.3333333333333333,0.16666666666666666,0.5419260806491796
67,1.4166666666666665,0.16666666666666666,0.41670942400291694
68,1.5,0.16666666666666666,0.35819446757156853
69,1.5833333333333333,0.16666666666666666,0.3435324662328208
70,1.6666666666666665,0.16666666666666666,0.3398557936672478
71,1.75,0.16666666666666666,0.33893344488508914
72,1.8333333333333333,0.16666666666666666,0.33870221388386096
73,1.9166666666666665,0.16666666666666666,0.3386450672011049
74,2.0,0.16666666666666666,0.33863414238502915
75,0.0,0.25,0.3386190926205987
76,0.08333333333333333,0.25,0.3386124216740971
77,0.16666666666666666,0.25,0.3385782006129919
78,0.25,0.25,0.3384340631457677
79,0.3333333333333333,0.25,0.3378409468884843
80,0.41666666666666663,0.25,0.33542963474294285
81,0.5,0.25,0.3270040371978836
82,0.5833333333333333,0.25,0.31115941449020906
83,0.6666666666666666,0.25,0.3077648050072778
84,0.75,0.25,0.32036246809808056
85,0.8333333333333333,0.25,0.3308727603900526
86,0.9166666666666666,0.25,0.3360888861140423
87,1.0,0.25,0.33890892505415493
88,1.0833333333333333,0.25,0.3432229701703501
89,1.1666666666666665,0.25,0.35812441404159484
90,1.25,0.25,0.41702922279104254
91,1.3333333333333333,0.25,0.5420225231377727
92,1.4166666666666665,0.25,0.41695234436370715
93,1.5,0.25,0.358180574767182
94,1.5833333333333333,0.25,0.343508418161945
95,1.6666666666666665,0.25,0.33984441422881523
96,1.75,0.25,0.3389292420883424
97,1.8333333333333333,0.25,0.33870081206834013
98,1.9166666666666665,0.25,0.3386445755559965
99,2.0,0.25,0.3386338599184157
100,0.0,0.3333333333333333,0.3386101761246661
101,0.08333333333333333,0.3333333333333333,0.33859122914050993
102,0.16666666666666666,0.3333333333333333,0.3384880345684574
103,0.25,0.3333333333333333,0.33802779513257636
104,0.3333333333333333,0.3333333333333333,0.3359948977874979
105,0.41666666666666663,0.3333333333333333,0.3269913667668433
106,0.5,0.3333333333333333,0.29472498799563773
107,0.5833333333333333,0.3333333333333333,0.26168787552029316
108,0.6666666666666666,0.3333333333333333,0.25052380866123986
109,0.75,0.3333333333333333,0.2756359025574984
110,0.8333333333333333,0.3333333333333333,0.31676405240093447
111,0.9166666666666666,0.3333333333333333,0.33218350464188934
112,1.0,0.3333333333333333,0.33790223873581565
113,1.0833333333333333,0.3333333333333333,0.34296979877674466
114,1.1666666666666665,0.3333333333333333,0.3580390850899473
115,1.25,0.3333333333333333,0.4169618848900574
116,1.3333333333333333,0.3333333333333333,0.5420448713047527
117,1.4166666666666665,0.3333333333333333,0.41699357809322857
118,1.5,0.3333333333333333,0.3581775938206311
119,1.5833333333333333,0.3333333333333333,0.3435033487993829
120,1.6666666666666665,0.3333333333333333,0.3398418841542679
121,1.75,0.3333333333333333,0.33892826021281625
122,1.8333333333333333,0.3333333333333333,0.3387004666368342
123,1.9166666666666665,0.3333333333333333,0.3386444470954496
124,2.0,0.3333333333333333,0.3386337872837219
125,0.0,0.41666666666666663,0.33859428981679124
126,0.08333333333333333,0.41666666666666663,0.33855350046088684
127,0.16666666666666666,0.41666666666666663,0.33832430234418326
128,0.25,0.41666666666666663,0.3372802897583041
129,0.3333333333333333,0.41666666666666663,0.33255101643356005
130,0.41666666666666663,0.41666666666666663,0.31100530516704006
131,0.5,0.41666666666666663,0.2611902499690405
132,0.5833333333333333,0.41666666666666663,0.22305939886674542
133,0.6666666666666666,0.41666666666666663,0.21605266713808885
134,0.75,0.41666666666666663,0.23192781796209158
135,0.8333333333333333,0.41666666666666663,0.28888986311784876
136,0.9166666666666666,0.41666666666666663,0.32623783694647784
137,1.0,0.41666666666666663,0.33664817488555776
138,1.0833333333333333,0.41666666666666663,0.34270706874304513
139,1.1666666666666665,0.41666666666666663,0.35797856066534006
140,1.25,0.41666666666666663,0.4169384760576386
141,1.3333333333333333,0.41666666666666663,0.5420487404087831
142,1.4166666666666665,0.41666666666666663,0.4170004728736551
143,1.5,0.41666666666666663,0.3581769845661204
144,1.5833333333333333,0.41666666666666663,0.3435023183222941
145,1.6666666666666665,0.41666666666666663,0.33984134105677954
146,1.75,0.41666666666666663,0.3389280357414588
147,1.8333333333333333,0.41666666666666663,0.3387003819197632
148,1.9166666666666665,0.41666666666666663,0.3386444123011006
149,2.0,0.41666666666666663,0.33863376630388103
150,0.0,0.5,0.33858120333877506
151,0.08333333333333333,0.5,0.3385258603472435
152,0.16666666666666666,0.5,0.33822092628695005
153,0.25,0.5,0.3368939360933437
154,0.3333333333333333,0.5,0.33121176065010643
155,0.41666666666666663,0.5,0.30705952736624137
156,0.5,0.5,0.24780347689583768
157,0.5833333333333333,0.5,0.214228742384827
158,0.6666666666666666,0.5,0.20841767320066681
159,0.75,0.5,0.22202192900129247
160,0.8333333333333333,0.5,0.27550838369559416
161,0.9166666666666666,0.5,0.32377241190265765
162,1.0,0.5,0.3362329735837047
