step,t_us,crack_tip_x_mm,n_crack_tips,crack_vel_mms,crack_vel_frac_cR,branched
18880,29.5617,21.280260,1,333697.41,0.3628,0
18900,29.5930,21.305154,1,794926.62,0.8642,0
18920,29.6244,21.344491,1,1256155.84,1.3655,0
18940,29.6557,21.344491,1,0.00,0.0000,0
18960,29.6870,21.369384,1,794926.62,0.8642,0
18980,29.7183,21.383828,1,461229.21,0.5014,0
19000,29.7496,21.419171,1,1128624.03,1.2269,0
19020,29.7809,21.423165,1,127531.80,0.1386,0
19040,29.8123,21.454514,1,1001092.23,1.0883,0
19060,29.8436,21.468958,1,461229.21,0.5014,0
19080,29.8749,21.483401,1,461229.21,0.5014,0
19100,29.9062,21.508295,1,794926.62,0.8642,0
19120,29.9375,21.522738,1,461229.21,0.5014,0
19140,29.9688,21.543638,1,667394.82,0.7255,0
19160,30.0001,21.558082,1,461229.21,0.5014,0
19180,30.0315,21.572525,1,461229.21,0.5014,0
19200,30.0628,21.593425,1,667394.82,0.7255,0
19220,30.0941,21.632762,1,1256155.84,1.3655,0
19240,30.1254,21.632762,1,0.00,0.0000,0
19260,30.1567,21.647206,1,461229.21,0.5014,0
19280,30.1880,21.672099,1,794926.62,0.8642,0
19300,30.2194,21.682549,1,333697.41,0.3628,0
19320,30.2507,21.721886,1,1256155.84,1.3655,0
19340,30.2820,21.732336,1,333697.41,0.3628,0
19360,30.3133,21.746779,1,461229.21,0.5014,0
19380,30.3446,21.782123,1,1128624.03,1.2269,0
19400,30.3759,21.786116,1,127531.80,0.1386,0
19420,30.4072,21.811010,1,794926.62,0.8642,0
19440,30.4386,21.831909,1,667394.82,0.7255,0
19460,30.4699,21.867253,1,1128624.03,1.2269,0
19480,30.5012,21.871247,1,127531.80,0.1386,0
19500,30.5325,21.885690,1,461229.21,0.5014,0
19520,30.5638,21.910584,1,794926.62,0.8642,0
19540,30.5951,21.935477,1,794926.62,0.8642,0
19560,30.6265,21.935477,1,0.00,0.0000,0
19580,30.6578,21.970820,1,1128624.03,1.2269,0
19600,30.6891,21.995714,1,794926.62,0.8642,0
19620,30.7204,22.010157,1,461229.21,0.5014,0
19640,30.7517,22.024601,1,461229.21,0.5014,0
19660,30.7830,22.035051,1,333697.41,0.3628,0
19680,30.8143,22.059944,1,794926.62,0.8642,0
19700,30.8457,22.080844,1,667394.82,0.7255,0
19720,30.8770,22.109731,1,922458.43,1.0028,0
19740,30.9083,22.124175,1,461229.21,0.5014,0
19760,30.9396,22.145074,1,667394.82,0.7255,0
19780,30.9709,22.159518,1,461229.21,0.5014,0
19800,31.0022,22.184411,1,794926.62,0.8642,0
19820,31.0336,22.213299,1,922458.43,1.0028,0
19840,31.0649,22.223748,1,333697.41,0.3628,0
19860,31.0962,22.244648,1,667394.82,0.7255,0
19880,31.1275,22.259092,1,461229.21,0.5014,0
19900,31.1588,22.283985,1,794926.62,0.8642,0
19920,31.1901,22.312872,1,922458.43,1.0028,0
19940,31.2214,22.333772,1,667394.82,0.7255,0
19960,31.2528,22.348216,1,461229.21,0.5014,0
19980,31.2841,22.373109,1,794926.62,0.8642,0
20000,31.3154,22.398002,1,794926.62,0.8642,0
20020,31.3467,22.408452,1,333697.41,0.3628,0
20040,31.3780,22.433346,1,794926.62,0.8642,0
20060,31.4093,22.458239,1,794926.62,0.8642,0
20080,31.4407,22.472683,1,461229.21,0.5014,0
20100,31.4720,22.501570,1,922458.43,1.0028,0
20120,31.5033,22.512020,1,333697.41,0.3628,0
20140,31.5346,22.536913,1,794926.62,0.8642,0
20160,31.5659,22.561807,1,794926.62,0.8642,0
20180,31.5972,22.586700,1,794926.62,0.8642,0
20200,31.6285,22.601144,1,461229.20,0.5014,0
20220,31.6599,22.611594,1,333697.41,0.3628,0
20240,31.6912,22.646937,1,1128623.98,1.2269,0
20260,31.7225,22.661380,1,461228.44,0.5014,0
20280,31.7538,22.686274,1,794926.12,0.8641,0
20300,31.7851,22.700717,1,461225.42,0.5014,0
20320,31.8164,22.725609,1,794883.44,0.8641,0
20340,31.8478,22.740043,1,460905.64,0.5010,0
20360,31.8791,22.760948,1,667573.84,0.7257,0
20380,31.9104,22.789760,1,920057.29,1.0002,0
20400,31.9417,22.810740,1,669957.19,0.7283,0
20420,31.9730,22.825171,1,460836.96,0.5010,0
20440,32.0043,22.864570,1,1258134.41,1.3677,0
20460,32.0356,22.874972,1,332142.72,0.3611,0
20480,32.0670,22.899865,1,794926.62,0.8642,0
